x,y,z,Bx,By,Bz
-100,67.21,147.3,-17.025879999999997,50.0058,8.0221
-60,67.21,147.3,-22.1244,50.5232,14.890239999999999
-20,67.21,147.3,-25.658800000000003,46.93,23.3818
-20,67.21,187.0,-23.5868,44.4672,24.4826
-60,67.21,187.0,-20.713600000000003,46.504,18.6644
-100,67.21,187.0,-17.43166,45.9916,13.900760000000002
-140,67.21,187.0,-14.85918,42.830799999999996,11.676639999999999
-180,67.21,187.0,-14.092699999999999,38.2276,12.298319999999999
-180,67.21,227.2,-12.593859999999998,38.3916,15.53456
-140,67.21,227.2,-13.47718,41.3028,14.62538
-100,67.21,227.2,-15.55174,43.2462,16.31646
-60,67.21,227.2,-18.206439999999997,43.563,19.743640000000003
-20,67.21,227.2,-20.8642,42.1454,23.828400000000002
-20,67.21,266.8,-18.229400000000002,39.3756,22.7282
-60,67.21,266.8,-15.507320000000002,40.895399999999995,19.5712
-100,67.21,266.8,-12.916720000000002,41.067,16.87698
-140,67.21,266.8,-10.84538,39.7712,16.27652
-180,67.21,266.8,-9.6484,38.185,16.91206
-180,67.21,307.1,-6.5553,37.2182,17.88782
-140,67.21,307.1,-8.11854,38.037,17.226660000000003
-100,67.21,307.1,-10.267619999999999,38.4718,17.778139999999997
-60,67.21,307.1,-12.867339999999999,38.25,18.87094
-20,67.21,307.1,-15.57666,36.6814,20.9526
-20,67.21,347.0,-13.05846,33.931999999999995,19.194
-60,67.21,347.0,-10.397060000000002,35.482,18.101
-100,67.21,347.0,-7.8958,36.3456,16.9546
-140,67.21,347.0,-5.69712,36.2656,16.98982
-180,67.21,347.0,-3.8825199999999995,35.621399999999994,18.26774
-180,-12.79,37.6,-98.84819999999999,52.842200000000005,-21.249200000000002
-140,-12.79,37.6,-85.51540000000001,30.793599999999998,-24.629
-100,-12.79,37.6,-65.32979999999999,43.438,-13.344920000000002
-60,-12.79,37.6,-82.74100000000001,46.0022,-3.02954
-20,-12.79,37.6,-81.7528,6.07432,6.5431799999999996
-20,-12.79,67.1,-57.9946,19.90718,12.4352
-60,-12.79,67.1,-61.742200000000004,37.6436,2.75616
-100,-12.79,67.1,-57.8932,43.5884,-5.503959999999999
-140,-12.79,67.1,-61.17979999999999,43.8408,-10.235479999999999
-180,-12.79,67.1,-62.98020000000001,49.834799999999994,-6.388200000000001
-180,-12.79,107.7,-41.434799999999996,47.217,8.87022
-140,-12.79,107.7,-43.0088,45.7092,5.41346
-100,-12.79,107.7,-43.9586,42.878,6.976839999999999
-60,-12.79,107.7,-44.525200000000005,37.139,12.429039999999999
-20,-12.79,107.7,-41.4972,28.683800000000005,19.73888
-20,-12.79,147.1,-31.8744,32.867399999999996,24.244799999999998
-60,-12.79,147.1,-33.4394,37.9298,19.180600000000002
-100,-12.79,147.1,-33.205999999999996,42.106,16.00844
-140,-12.79,147.1,-32.074799999999996,44.678999999999995,15.575999999999999
-180,-12.79,147.1,-30.682600000000004,45.61,18.28252
-180,-12.79,187.5,-23.276,44.5408,23.953400000000002
-140,-12.79,187.5,-24.2504,43.6408,21.1738
-100,-12.79,187.5,-25.2236,41.5428,20.733600000000003
-60,-12.79,187.5,-25.633200000000002,38.2354,22.851799999999997
-20,-12.79,187.5,-25.130999999999997,34.5714,26.2324
-20,-12.79,227.1,-19.536199999999997,34.855599999999995,26.4666
-60,-12.79,227.1,-19.326600000000003,37.901599999999995,24.4
-100,-12.79,227.1,-18.567999999999998,40.567600000000006,23.4736
-140,-12.79,227.1,-17.51706,42.5602,24.147600000000004
-180,-12.79,227.1,-16.52254,43.77720000000001,26.522800000000004
-180,-12.79,267.3,-10.863199999999999,42.8996,26.636599999999998
-140,-12.79,267.3,-12.17186,41.4196,24.585
-100,-12.79,267.3,-13.419679999999998,39.589600000000004,23.6436
-60,-12.79,267.3,-14.51626,37.2794,23.902199999999997
-20,-12.79,267.3,-15.29234,34.8246,24.632399999999997
-20,-12.79,307.3,-11.38608,33.629799999999996,22.9956
-60,-12.79,307.3,-10.22146,36.3,22.258000000000003
-100,-12.79,307.3,-8.82276,38.267399999999995,22.654000000000003
-140,-12.79,307.3,-7.332660000000001,39.7994,23.9204
-180,-12.79,307.3,-5.6731,41.299600000000005,25.818600000000004
-180,-12.79,347.3,-1.36672,39.4818,23.8336
-140,-12.79,347.3,-3.3397,38.42,21.778000000000002
-100,-12.79,347.3,-5.1155,36.8456,20.582199999999997
-60,-12.79,347.3,-6.727679999999999,34.863,20.1574
-20,-12.79,347.3,-8.1475,32.516400000000004,20.2378
-20,-92.79,37.6,-97.91579999999999,-9.62314,25.846199999999996
-60,-92.79,37.6,-106.47200000000001,18.93754,10.297260000000001
-100,-92.79,37.6,-103.7744,34.2254,-2.49416
-140,-92.79,37.6,-110.6508,59.9726,8.721319999999999
-180,-92.79,37.6,-93.66760000000001,90.14479999999999,33.0852
-180,-92.79,67.4,-74.26859999999999,75.97500000000001,27.7206
-140,-92.79,67.4,-84.14719999999998,55.92,16.99628
-100,-92.79,67.4,-84.5262,37.054,13.6769
-60,-92.79,67.4,-81.68560000000001,20.7308,19.70864
-20,-92.79,67.4,-72.422,3.5458200000000004,29.5242
-20,-92.79,107.6,-50.611200000000004,15.359900000000001,32.800799999999995
-60,-92.79,107.6,-57.9276,26.365,26.6308
-100,-92.79,107.6,-61.138999999999996,39.1554,23.1082
-140,-92.79,107.6,-60.34,52.33399999999999,24.5248
-180,-92.79,107.6,-54.69199999999999,64.6224,30.603800000000003
-180,-92.79,147.4,-40.0992,58.830400000000004,34.094800000000006
-140,-92.79,147.4,-42.9326,50.217,29.083600000000004
-100,-92.79,147.4,-43.1928,40.5554,27.8292
-60,-92.79,147.4,-40.6642,31.221,29.654400000000003
-20,-92.79,147.4,-35.5456,23.342399999999998,33.663399999999996
-20,-92.79,187.4,-24.8442,28.4408,32.6208
-60,-92.79,187.4,-28.0752,34.415600000000005,30.491200000000003
-100,-92.79,187.4,-29.7242,41.5708,29.9066
-140,-92.79,187.4,-29.558,48.974399999999996,31.6626
-180,-92.79,187.4,-27.878400000000003,56.1242,36.0138
-180,-92.79,227.3,-18.6698,54.14359999999999,35.4614
-140,-92.79,227.3,-18.8698,48.3106,31.5956
-100,-92.79,227.3,-19.239600000000003,42.0954,29.949399999999997
-60,-92.79,227.3,-18.4844,36.65,29.3348
-20,-92.79,227.3,-16.52026,31.353200000000005,30.687600000000003
-20,-92.79,267.4,-10.39032,33.0816,27.5702
-60,-92.79,267.4,-11.132719999999999,37.6406,27.180799999999998
-100,-92.79,267.4,-11.094260000000002,42.29520000000001,28.124399999999998
-140,-92.79,267.4,-10.1168,47.191,30.365399999999998
-180,-92.79,267.4,-8.156099999999999,52.124399999999994,34.2624
-180,-92.79,307.2,-0.9414600000000001,49.3274,31.6726
-140,-92.79,307.2,-3.3552600000000004,45.4262,28.118399999999998
-100,-92.79,307.2,-4.81984,41.427600000000005,25.8438
-60,-92.79,307.2,-5.53244,37.3672,24.7642
-20,-92.79,307.2,-5.6414800000000005,33.635799999999996,24.104999999999997
-20,-92.79,347.4,-1.8521400000000003,33.3736,20.5088
-60,-92.79,347.4,-1.0968200000000001,36.5426,21.752800000000004
-100,-92.79,347.4,0.1405,40.0804,22.929199999999998
-140,-92.79,347.4,2.0254,43.224799999999995,25.230999999999998
-180,-92.79,347.4,4.66478,46.1616,28.249800000000004
-180,-172.79,37.3,-110.5102,107.935,8.43008
-140,-172.79,37.3,-140.5968,73.25359999999999,20.7252
-100,-172.79,37.3,-143.8218,23.6224,31.683
-60,-172.79,37.3,-122.027,-15.51524,42.644
-20,-172.79,37.3,-93.26979999999999,-36.6608,56.5188
-20,-172.79,67.4,-72.77520000000001,-18.259600000000002,54.282399999999996
-60,-172.79,67.4,-92.24680000000001,1.7190599999999996,43.1342
-100,-172.79,67.4,-104.3682,29.6596,35.0142
-140,-172.79,67.4,-103.0252,62.0898,29.3288
-180,-172.79,67.4,-88.7306,90.0624,26.1144
-180,-172.79,107.3,-65.0562,77.3072,36.7786
-140,-172.79,107.3,-70.964,57.0334,35.4974
-100,-172.79,107.3,-70.1314,35.3,37.5792
-60,-172.79,107.3,-62.2116,15.617179999999998,42.5296
-20,-172.79,107.3,-48.849799999999995,0.23552,50.0916
-20,-172.79,147.5,-31.0614,13.387720000000003,45.2446
-60,-172.79,147.5,-40.6624,24.9164,40.8906
-100,-172.79,147.5,-46.63739999999999,39.4242,38.5828
-140,-172.79,147.5,-48.265,55.3898,38.772800000000004
-180,-172.79,147.5,-45.8,71.17020000000001,41.5548
-180,-172.79,187.1,-29.4952,68.3212,42.4122
-140,-172.79,187.1,-31.0276,55.24,39.394800000000004
-100,-172.79,187.1,-29.6518,43.187799999999996,37.45739999999999
-60,-172.79,187.1,-25.324600000000004,32.051399999999994,37.8368
-20,-172.79,187.1,-18.3886,22.8798,39.973800000000004
-20,-172.79,227.3,-8.97678,29.3534,34.5364
-60,-172.79,227.3,-13.36612,36.6172,34.61260000000001
-100,-172.79,227.3,-16.079839999999997,45.446400000000004,35.8666
-140,-172.79,227.3,-16.677979999999998,55.46479999999999,37.9994
-180,-172.79,227.3,-15.193579999999999,65.4176,42.476800000000004
-180,-172.79,267.2,-3.05136,61.8218,40.5524
-140,-172.79,267.2,-5.5034600000000005,53.900800000000004,36.4962
-100,-172.79,267.2,-5.955399999999999,46.7678,32.5038
-60,-172.79,267.2,-4.66512,39.434200000000004,30.5348
-20,-172.79,267.2,-2.10394,33.2316,29.222800000000003
-20,-172.79,307.5,2.9243400000000004,35.1252,24.189000000000004
-60,-172.79,307.5,1.9089399999999999,40.637,26.066200000000002
-100,-172.79,307.5,1.8919799999999998,46.2766,29.198200000000003
-140,-172.79,307.5,3.26052,52.13680000000001,32.972199999999994
-180,-172.79,307.5,6.20418,57.6856,37.202600000000004
-180,-172.79,347.1,13.113199999999999,53.7246,32.3104
-140,-172.79,347.1,9.760019999999999,49.635600000000004,28.5576
-100,-172.79,347.1,7.6990799999999995,45.145799999999994,24.854400000000002
-60,-172.79,347.1,6.69068,40.683400000000006,21.2586
-20,-172.79,347.1,6.518160000000001,35.675999999999995,19.397799999999997
