x,y,z,Bx,By,Bz
20,107.21,36.7,-35.225,31.9232,52.4714
60,107.21,36.7,6.274159999999999,14.65516,70.0846
100,107.21,36.7,38.3474,50.17739999999999,77.95880000000001
140,107.21,36.7,8.17502,102.2726,73.19680000000001
180,107.21,36.7,-58.358599999999996,111.79139999999998,62.4092
180,107.21,66.9,-55.9268,73.1024,57.0958
140,107.21,66.9,-21.0824,69.4722,63.345
100,107.21,66.9,-4.311800000000001,49.8028,64.581
60,107.21,66.9,-13.13976,36.3212,58.96600000000001
20,107.21,66.9,-28.7692,46.7658,45.56060000000001
20,107.21,106.7,-28.194999999999997,51.835,40.061
60,107.21,106.7,-26.0612,44.806599999999996,49.370000000000005
100,107.21,106.7,-26.757199999999997,45.6142,53.6064
140,107.21,106.7,-36.1952,48.83,53.44760000000001
180,107.21,106.7,-52.66,46.4728,50.2464
180,107.21,146.9,-48.021,33.4402,44.946000000000005
140,107.21,146.9,-39.4642,37.997,46.9458
100,107.21,146.9,-33.477399999999996,40.5008,46.8602
60,107.21,146.9,-30.558200000000003,44.360600000000005,43.343
20,107.21,146.9,-28.6454,50.0606,37.022
20,107.21,186.5,-28.235,47.466,32.861999999999995
60,107.21,186.5,-31.139,41.5574,38.568400000000004
100,107.21,186.5,-34.3144,36.9238,40.8442
140,107.21,186.5,-38.3358,32.187599999999996,41.345600000000005
180,107.21,186.5,-42.9796,26.452199999999998,40.48
180,27.21,36.7,-44.6116,109.9858,54.895399999999995
140,27.21,36.7,12.818299999999999,91.74399999999999,39.318200000000004
100,27.21,36.7,38.611999999999995,38.7894,26.7112
60,27.21,36.7,12.654060000000001,-4.73342,23.4276
20,27.21,36.7,-33.836,-8.763639999999999,16.61906
20,27.21,67.0,-31.3836,16.48398,21.670599999999997
60,27.21,67.0,-9.364799999999999,18.330579999999998,30.4462
100,27.21,67.0,0.8961799999999999,39.5598,36.5424
140,27.21,67.0,-13.054480000000002,64.2454,44.7104
180,27.21,67.0,-44.5194,75.8038,50.6984
180,27.21,106.9,-43.214,49.5634,47.902
140,27.21,106.9,-27.379199999999997,45.877399999999994,45.336000000000006
100,27.21,106.9,-19.7072,37.215399999999995,40.5794
60,27.21,106.9,-21.849200000000003,30.314400000000003,34.5614
20,27.21,106.9,-29.23,30.5322,26.9878
20,27.21,146.9,-27.1148,35.4948,28.7744
60,27.21,146.9,-25.305,33.587,35.061
100,27.21,146.9,-25.911,34.6308,39.6738
140,27.21,146.9,-30.776799999999998,36.4502,42.6774
180,27.21,146.9,-39.473400000000005,35.4234,44.124399999999994
180,27.21,186.5,-34.503,27.638800000000003,40.0238
140,27.21,186.5,-29.5566,30.621,39.1088
100,27.21,186.5,-26.3036,32.2988,36.7622
60,27.21,186.5,-24.877,33.67679999999999,33.474199999999996
20,27.21,186.5,-24.5606,36.1578,29.0024
20,-52.79,37.2,-61.221000000000004,-17.18196,19.4752
60,-52.79,37.2,-32.066,-10.193560000000002,22.0084
100,-52.79,37.2,-18.5152,14.91716,30.828400000000002
140,-52.79,37.2,-18.954400000000003,41.5788,51.778999999999996
180,-52.79,37.2,-29.8998,74.0446,75.6456
180,-52.79,67.0,-33.871399999999994,58.6222,68.6338
140,-52.79,67.0,-22.1954,37.75,56.4674
100,-52.79,67.0,-21.938000000000002,18.871,43.08520000000001
60,-52.79,67.0,-31.9698,4.6594,33.553399999999996
20,-52.79,67.0,-49.6302,1.43118,26.661999999999995
20,-52.79,107.3,-38.1798,15.90108,31.9146
60,-52.79,107.3,-28.808,16.479660000000003,38.992399999999996
100,-52.79,107.3,-23.2012,23.155,46.696400000000004
140,-52.79,107.3,-24.0702,33.0822,54.5362
180,-52.79,107.3,-32.505,42.741800000000005,60.6492
180,-52.79,147.1,-28.2532,32.861599999999996,52.587799999999994
140,-52.79,147.1,-22.6768,28.7878,49.6776
100,-52.79,147.1,-21.6622,24.7496,44.7884
60,-52.79,147.1,-24.52,22.439,39.24
20,-52.79,147.1,-29.528000000000006,23.394000000000002,33.644
20,-52.79,187.0,-22.926799999999997,27.6266,32.6072
60,-52.79,187.0,-20.3638,25.781,36.5604
100,-52.79,187.0,-19.042,25.4768,40.449
140,-52.79,187.0,-19.91,25.9952,43.6404
180,-52.79,187.0,-23.2816,26.4914,45.23720000000001
180,-132.79,37.5,19.0802,37.2382,138.9444
140,-132.79,37.5,-6.6582,-11.97986,118.30659999999999
100,-132.79,37.5,-36.369,-24.293200000000002,92.90559999999999
60,-132.79,37.5,-51.1328,-30.027199999999997,72.0364
20,-132.79,37.5,-74.184,-34.2008,55.9064
20,-132.79,66.7,-56.5292,-16.43054,53.7552
60,-132.79,66.7,-37.8066,-16.68646,67.477
100,-132.79,66.7,-21.0264,-10.31992,83.5988
140,-132.79,66.7,-3.9248600000000002,5.857559999999999,100.5228
180,-132.79,66.7,4.2232400000000005,37.6316,113.62239999999998
180,-132.79,107.5,-2.63164,33.1428,88.1318
140,-132.79,107.5,-3.49856,15.34478,81.0244
100,-132.79,107.5,-12.29898,4.15636,70.836
60,-132.79,107.5,-24.764400000000002,-1.3624200000000002,60.0336
20,-132.79,107.5,-38.5124,0.38455999999999996,50.047399999999996
20,-132.79,146.6,-25.7054,12.03884,45.29600000000001
60,-132.79,146.6,-16.17726,9.958380000000002,52.03260000000001
100,-132.79,146.6,-8.01484,12.27262,59.08899999999999
140,-132.79,146.6,-3.2822400000000003,18.799760000000003,65.2214
180,-132.79,146.6,-4.17328,27.504,69.2892
180,-132.79,187.4,-3.5442800000000005,23.3334,54.8358
140,-132.79,187.4,-2.5941200000000006,20.0438,52.39
100,-132.79,187.4,-5.19066,17.407120000000003,48.712799999999994
60,-132.79,187.4,-10.33286,17.147100000000002,44.3464
20,-132.79,187.4,-16.62096,19.7998,40.1072
20,-212.79,37.4,-61.815799999999996,-72.7278,89.6452
60,-212.79,37.4,-22.593000000000004,-81.7162,119.2696
100,-212.79,37.4,16.83696,-78.6324,151.34
140,-212.79,37.4,73.11919999999999,-63.5596,179.2504
180,-212.79,37.4,129.20399999999998,2.61218,201.098
180,-212.79,67.7,88.257,16.83158,155.852
140,-212.79,67.7,62.0466,-28.884,142.2844
100,-212.79,67.7,25.8004,-49.3958,123.1902
60,-212.79,67.7,-8.591019999999999,-54.1158,101.45819999999999
20,-212.79,67.7,-40.7222,-47.659,80.8818
20,-212.79,107.5,-21.6862,-21.0042,67.7018
60,-212.79,107.5,2.0375199999999998,-25.328,80.406
100,-212.79,107.5,26.0216,-19.93,93.53459999999998
140,-212.79,107.5,46.55180000000001,-3.9694800000000003,104.71440000000001
180,-212.79,107.5,56.73239999999999,23.891199999999998,111.768
180,-212.79,147.7,38.7662,22.991999999999997,80.94839999999999
140,-212.79,147.7,34.8496,7.72138,77.1648
100,-212.79,147.7,23.0922,-1.94428,70.76939999999999
60,-212.79,147.7,7.344980000000001,-4.95058,63.1584
20,-212.79,147.7,-9.40964,-1.2036399999999998,55.657000000000004
20,-212.79,187.3,-1.3565,12.573080000000001,45.135600000000004
60,-212.79,187.3,10.02732,8.95144,49.17399999999999
100,-212.79,187.3,20.1682,9.54906,53.404399999999995
140,-212.79,187.3,27.011599999999998,14.35578,56.86560000000001
180,-212.79,187.3,28.687399999999997,20.616,59.07979999999999
180,-292.79,37.7,289.89,-27.717,208.142
140,-292.79,37.7,208.56599999999997,-112.24299999999998,200.53
100,-292.79,37.7,128.9614,-144.099,175.71179999999998
60,-292.79,37.7,48.8774,-149.6624,142.4218
20,-292.79,37.7,-22.2614,-128.5296,114.1002
20,-292.79,67.5,-2.38924,-86.7536,92.45620000000001
60,-292.79,67.5,51.39699999999999,-98.9348,113.25040000000001
100,-292.79,67.5,110.31799999999998,-91.666,134.2012
140,-292.79,67.5,166.61939999999998,-61.1206,149.617
180,-292.79,67.5,206.63,0.29608,156.2106
180,-292.79,107.4,137.71200000000002,13.286679999999999,107.59020000000001
140,-292.79,107.4,119.0612,-23.506,102.8438
100,-292.79,107.4,86.166,-45.69220000000001,93.705
60,-292.79,107.4,47.5204,-52.014799999999994,82.1082
20,-292.79,107.4,9.81722,-44.5414,70.6242
20,-292.79,147.5,15.97124,-13.99844,54.915800000000004
60,-292.79,147.5,42.114399999999996,-19.71784,60.381800000000005
100,-292.79,147.5,67.153,-16.163,66.30359999999999
140,-292.79,147.5,86.5656,-3.1776799999999996,71.0702
180,-292.79,147.5,95.811,17.28882,73.5642
180,-292.79,187.3,69.9958,18.30024,49.351000000000006
140,-292.79,187.3,65.5172,8.236080000000001,48.330200000000005
100,-292.79,187.3,54.0488,1.9663999999999997,46.1888
60,-292.79,187.3,38.1814,1.6774599999999997,43.8278
20,-292.79,187.3,20.633000000000003,7.1963,42.2846
-180,-292.79,37.0,-130.718,85.9592,41.918
-140,-292.79,37.0,-125.25540000000002,35.6554,44.22239999999999
-100,-292.79,37.0,-107.06899999999999,-6.4154,54.6636
-60,-292.79,37.0,-94.9824,-40.62,71.8408
-20,-292.79,37.0,-73.38319999999999,-87.1816,89.63059999999999
-20,-292.79,67.5,-44.745200000000004,-61.071200000000005,73.8954
-60,-292.79,67.5,-71.8112,-27.9254,59.861799999999995
-100,-292.79,67.5,-89.6274,5.680319999999999,47.764799999999994
-140,-292.79,67.5,-101.59120000000001,43.315200000000004,39.706399999999995
-180,-292.79,67.5,-104.8784,83.7766,37.0636
-180,-292.79,107.1,-79.9338,84.1398,38.6252
-140,-292.79,107.1,-75.6096,51.0638,39.0824
-100,-292.79,107.1,-65.127,20.475199999999997,44.1918
-60,-292.79,107.1,-47.7904,-6.11766,51.4992
-20,-292.79,107.1,-22.902199999999997,-29.0508,59.919200000000004
-20,-292.79,147.5,-9.03186,-3.1091,50.4274
-60,-292.79,147.5,-29.0914,13.53002,47.022600000000004
-100,-292.79,147.5,-44.026199999999996,33.872,43.8156
-140,-292.79,147.5,-53.6678,58.3206,42.157799999999995
-180,-292.79,147.5,-58.373,86.79379999999999,45.571600000000004
-180,-292.79,186.9,-36.464200000000005,88.67920000000001,52.90899999999999
-140,-292.79,186.9,-33.2542,64.982,46.228
-100,-292.79,186.9,-24.9446,45.608399999999996,43.971199999999996
-60,-292.79,186.9,-12.699839999999998,29.565399999999997,43.2734
-20,-292.79,186.9,2.59214,16.57764,42.497600000000006
-20,-212.79,37.5,-93.97680000000001,-53.8086,66.8342
-60,-212.79,37.5,-121.48479999999999,-23.562199999999997,56.5074
-100,-212.79,37.5,-140.50879999999998,14.73274,50.7854
-140,-212.79,37.5,-143.6198,55.93,40.559
-180,-212.79,37.5,-136.1284,98.2244,27.805000000000003
-180,-212.79,67.4,-101.1938,86.98780000000001,34.886
-140,-212.79,67.4,-107.69839999999999,55.4442,39.586
-100,-212.79,67.4,-103.94700000000002,22.471799999999998,46.181400000000004
-60,-212.79,67.4,-90.16680000000001,-7.81192,53.537800000000004
-20,-212.79,67.4,-68.268,-32.4372,64.16199999999999
-20,-212.79,107.4,-43.0604,-9.907399999999999,56.84479999999999
-60,-212.79,107.4,-59.629200000000004,8.42078,49.119600000000005
-100,-212.79,107.4,-70.18860000000001,30.7848,43.968999999999994
-140,-212.79,107.4,-74.0122,55.220200000000006,41.15560000000001
-180,-212.79,107.4,-71.11699999999999,78.5038,41.342600000000004
-180,-212.79,147.2,-48.750600000000006,74.1266,45.7596
-140,-212.79,147.2,-49.6602,56.16140000000001,43.0242
-100,-212.79,147.2,-45.993,37.629400000000004,42.9388
-60,-212.79,147.2,-37.6502,20.7648,45.2
-20,-212.79,147.2,-25.1832,7.176360000000001,49.4696
-20,-212.79,187.4,-12.719280000000003,19.21844,42.5718
-60,-212.79,187.4,-21.6836,30.042399999999997,41.125
-100,-212.79,187.4,-27.8882,43.126999999999995,41.331
-140,-212.79,187.4,-30.693000000000005,57.411199999999994,43.5624
-180,-212.79,187.4,-30.001,71.624,47.754799999999996
-180,-132.79,37.5,-81.0504,105.57900000000001,24.381
-140,-132.79,37.5,-122.45139999999999,79.4032,15.785339999999998
-100,-132.79,37.5,-130.5634,31.6772,14.987820000000001
-60,-132.79,37.5,-117.02999999999999,-1.24496,27.637600000000003
