x,y,z,Bx,By,Bz
180,-332.79,38.6,367.212,-18.2724,176.6646
180,-332.79,38.6,367.21,-18.2706,176.6632
140,-332.79,38.6,295.334,-124.99100000000001,181.8434
100,-332.79,38.6,195.06,-176.4784,162.042
60,-332.79,38.6,94.38680000000001,-179.77439999999999,135.71
20,-332.79,38.6,12.794939999999999,-151.4074,111.50899999999999
20,-332.79,67.3,24.731199999999998,-104.8964,83.37
60,-332.79,67.3,88.21200000000002,-119.73040000000002,101.034
100,-332.79,67.3,158.8308,-111.286,118.10559999999998
140,-332.79,67.3,223.312,-71.197,130.39860000000002
180,-332.79,67.3,261.938,-1.7015200000000001,132.5868
180,-332.79,107.4,176.0908,9.993760000000002,91.1008
140,-332.79,107.4,155.23739999999998,-30.558000000000003,87.44200000000001
100,-332.79,107.4,117.02540000000002,-56.6198,79.6688
60,-332.79,107.4,71.3972,-63.70439999999999,70.1578
20,-332.79,107.4,26.5098,-54.9384,61.2626
20,-332.79,147.3,27.4484,-18.0566,48.60680000000001
60,-332.79,147.3,58.98359999999999,-24.66,51.7504
100,-332.79,147.3,88.6858,-21.679000000000002,55.63739999999999
140,-332.79,147.3,112.05780000000001,-7.1328000000000005,58.8862
180,-332.79,147.3,123.8796,15.72578,60.3102
180,-332.79,187.3,91.1302,18.495639999999998,37.6152
140,-332.79,187.3,85.3484,7.162680000000001,38.0338
100,-332.79,187.3,71.72619999999999,0.4418600000000001,37.425799999999995
60,-332.79,187.3,52.790000000000006,0.9227799999999999,36.7332
20,-332.79,187.3,31.4916,8.438139999999999,37.979
20,-332.79,227.0,36.9948,25.8336,25.246399999999998
60,-332.79,227.0,49.980799999999995,17.019160000000003,21.4496
100,-332.79,227.0,61.0664,13.0442,20.1966
140,-332.79,227.0,68.2042,13.912040000000001,20.087
180,-332.79,227.0,69.9994,17.84936,19.9424
180,-332.79,267.1,55.4636,15.866960000000002,6.680239999999999
140,-332.79,267.1,55.3268,16.51952,5.30394
100,-332.79,267.1,51.9234,19.59308,4.62818
60,-332.79,267.1,46.4172,25.858400000000003,5.92764
20,-332.79,267.1,40.074,35.4462,9.882039999999998
20,-332.79,307.0,37.3592,39.2168,-4.323780000000001
60,-332.79,307.0,39.6136,29.675600000000003,-6.73576
100,-332.79,307.0,42.044399999999996,22.6586,-7.21824
140,-332.79,307.0,43.8554,17.90354,-5.972619999999999
180,-332.79,307.0,44.4086,14.77394,-3.90702
180,-332.79,347.3,35.0486,14.704720000000002,-11.25728
140,-332.79,347.3,34.126999999999995,18.77748,-13.076179999999999
100,-332.79,347.3,32.9144,24.0134,-14.06356
60,-332.79,347.3,31.794,30.7262,-14.417360000000002
20,-332.79,347.3,31.2558,39.721599999999995,-13.346079999999999
20,-252.79,37.1,-47.05,-102.1942,105.759
60,-252.79,37.1,9.62358,-115.39139999999999,137.1208
100,-252.79,37.1,66.337,-111.9436,170.8534
140,-252.79,37.1,133.9714,-90.6064,196.8202
180,-252.79,37.1,206.1,-18.3174,214.744
180,-252.79,67.4,146.1706,6.4969600000000005,163.2994
140,-252.79,67.4,111.0938,-46.891400000000004,151.8026
100,-252.79,67.4,64.564,-71.70100000000001,133.5976
60,-252.79,67.4,18.2256,-77.22479999999999,111.47719999999998
20,-252.79,67.4,-24.8324,-67.6866,90.0828
20,-252.79,107.1,-7.340739999999999,-33.226,71.9936
60,-252.79,107.1,23.3202,-38.2696,84.9506
100,-252.79,107.1,54.75300000000001,-33.0646,97.55
140,-252.79,107.1,81.7806,-14.170179999999998,108.02940000000001
180,-252.79,107.1,96.9218,17.40462,114.44680000000001
180,-252.79,147.4,67.0472,19.64258,80.61779999999999
140,-252.79,147.4,60.3534,1.6965999999999999,76.9842
100,-252.79,147.4,44.518,-9.668600000000001,71.1412
60,-252.79,147.4,24.016399999999997,-13.012699999999999,64.02220000000001
20,-252.79,147.4,2.5851999999999995,-8.5078,57.21659999999999
20,-252.79,187.0,8.85902,9.35848,45.0924
60,-252.79,187.0,23.426799999999997,4.8034,48.2258
100,-252.79,187.0,36.678399999999996,5.167319999999999,51.7526
140,-252.79,187.0,46.0942,11.2573,54.627
180,-252.79,187.0,49.4134,19.490579999999998,56.3612
180,-252.79,227.5,38.3932,18.478,38.8172
140,-252.79,227.5,36.6802,15.4723,38.004
100,-252.79,227.5,31.1188,14.28836,36.5848
60,-252.79,227.5,22.8804,16.0857,35.2364
20,-252.79,227.5,13.41616,21.096799999999998,34.6706
20,-252.79,266.9,16.64106,28.693800000000003,25.0504
60,-252.79,266.9,22.3458,23.211599999999997,24.001399999999997
100,-252.79,266.9,27.2912,19.903599999999997,24.1006
140,-252.79,266.9,30.5528,18.4148,24.7114
180,-252.79,266.9,31.593000000000004,17.74306,25.487
180,-252.79,307.5,26.477399999999996,17.46334,15.246400000000001
140,-252.79,307.5,25.7346,19.740099999999998,14.703859999999999
100,-252.79,307.5,23.8798,22.8186,14.381160000000001
60,-252.79,307.5,21.145,27.0754,14.9505
20,-252.79,307.5,18.139,32.9362,16.47382
20,-252.79,347.4,18.3782,34.720800000000004,9.233639999999998
60,-252.79,347.4,19.5618,28.920799999999996,7.791860000000001
100,-252.79,347.4,20.8536,24.233600000000003,7.0696200000000005
140,-252.79,347.4,21.865000000000002,20.5132,7.101699999999999
180,-252.79,347.4,22.4208,17.388620000000003,7.647139999999999
180,-172.79,37.8,66.4478,17.937160000000002,173.4486
140,-172.79,37.8,25.946399999999997,-40.3998,150.9776
100,-172.79,37.8,-17.706760000000003,-51.22220000000001,123.85360000000001
60,-172.79,37.8,-41.498599999999996,-52.047399999999996,96.66120000000001
20,-172.79,37.8,-68.65100000000001,-49.983,73.6224
20,-172.79,66.7,-50.8238,-30.7006,68.3904
60,-172.79,66.7,-27.076999999999995,-33.3228,86.04459999999999
60,-172.79,66.7,-27.083000000000002,-33.3274,86.05139999999999
100,-172.79,66.7,-2.71428,-28.8662,105.36780000000002
140,-172.79,66.7,23.913800000000002,-11.193299999999999,123.93100000000001
180,-172.79,66.7,40.806599999999996,27.794800000000002,137.5286
180,-172.79,107.7,23.454,27.827600000000004,102.1544
140,-172.79,107.7,18.007,5.88756,94.7394
100,-172.79,107.7,3.54214,-7.745360000000002,83.7544
60,-172.79,107.7,-14.15382,-12.319460000000001,71.5612
20,-172.79,107.7,-32.3686,-9.77368,59.8842
20,-172.79,146.7,-19.1708,5.61134,51.4362
60,-172.79,146.7,-6.268460000000001,2.81878,58.72880000000001
100,-172.79,146.7,5.51176,5.56554,66.20139999999999
140,-172.79,146.7,13.654739999999999,13.540479999999997,72.6268
180,-172.79,146.7,15.153160000000002,25.2416,76.6918
180,-172.79,187.7,11.26778,22.166,58.224399999999996
140,-172.79,187.7,10.912639999999998,17.00158,55.91159999999999
100,-172.79,187.7,6.1707,13.47912,52.1628
60,-172.79,187.7,-1.3987200000000002,12.986019999999998,47.7738
20,-172.79,187.7,-10.118060000000002,16.086199999999998,43.5322
20,-172.79,226.7,-3.40462,23.4988,36.0454
60,-172.79,226.7,2.25484,19.9756,38.1646
100,-172.79,226.7,7.01938,18.7536,40.504200000000004
140,-172.79,226.7,9.85932,19.2774,42.568400000000004
180,-172.79,226.7,10.08752,20.309,43.981
180,-172.79,267.5,9.623719999999999,19.352800000000002,32.9996
140,-172.79,267.5,9.336799999999998,20.339000000000002,32.1566
100,-172.79,267.5,7.62516,21.7322,31.019600000000004
60,-172.79,267.5,4.773000000000001,24.132199999999997,29.9536
20,-172.79,267.5,1.3874600000000001,28.023000000000003,29.1976
20,-172.79,307.1,4.8055,30.619400000000002,22.766199999999998
60,-172.79,307.1,6.574739999999999,26.4994,22.775599999999997
100,-172.79,307.1,8.115179999999999,23.2818,23.1992
140,-172.79,307.1,9.13792,21.062600000000003,23.461199999999998
180,-172.79,307.1,9.51494,18.688,24.261799999999997
180,-172.79,347.7,8.90686,18.604000000000003,17.23046
140,-172.79,347.7,8.74656,21.2652,16.765060000000002
100,-172.79,347.7,8.317,24.226799999999997,16.419059999999998
60,-172.79,347.7,7.69416,27.3942,16.85094
20,-172.79,347.7,6.840160000000001,31.340200000000003,17.547320000000003
20,-92.79,37.0,-70.0272,-23.265,35.3146
60,-92.79,37.0,-49.4728,-15.791340000000002,44.4646
100,-92.79,37.0,-37.7956,-3.0493400000000004,58.7108
140,-92.79,37.0,-22.7718,13.669579999999998,82.4834
180,-92.79,37.0,-12.33882,53.3254,105.1
180,-92.79,67.4,-19.762979999999995,48.11319999999999,89.37360000000001
140,-92.79,67.4,-18.655120000000004,22.682199999999998,76.2926
100,-92.79,67.4,-26.8536,6.144780000000001,61.0618
60,-92.79,67.4,-38.9392,-3.7585599999999997,48.5712
20,-92.79,67.4,-55.49079999999999,-5.7583400000000005,38.7538
20,-92.79,107.1,-39.940599999999996,8.639,40.232800000000005
60,-92.79,107.1,-28.982800000000005,8.1386,48.571000000000005
100,-92.79,107.1,-20.5262,14.05246,57.74060000000001
140,-92.79,107.1,-16.81578,24.129,67.03399999999999
180,-92.79,107.1,-20.5356,37.689,73.8154
180,-92.79,147.4,-18.0754,29.943200000000004,60.9904
140,-92.79,147.4,-14.855979999999999,24.0918,57.10960000000001
100,-92.79,147.4,-16.54806,18.8514,51.52760000000001
60,-92.79,147.4,-21.772,16.559540000000002,45.2078
20,-92.79,147.4,-28.734399999999997,17.83704,39.2206
20,-92.79,186.9,-20.5266,23.762199999999996,36.4234
