0,1580581618.393656250,3663426418.393656250,-180.00,160.00,30.00,-0.200390000,-0.081461000,1.535050000,-180.00,147.21,37.00
0,1580581619.395230290,3663426419.395230290,-180.00,160.00,30.00,-0.200370000,-0.081471000,1.535050000,-180.00,147.21,37.00
0,1580581620.395098690,3663426420.395098680,-180.00,160.00,30.00,-0.200370000,-0.081477000,1.535040000,-180.00,147.21,37.00
0,1580581621.394755360,3663426421.394755360,-180.00,160.00,30.00,-0.200090000,-0.081176000,1.535340000,-180.00,147.21,37.00
0,1580581622.394603730,3663426422.394603730,-180.00,160.00,30.00,-0.200350000,-0.081492000,1.535030000,-180.00,147.21,37.00
1,1580581648.745934010,3663426448.745934010,-140.00,160.00,30.00,0.736210000,-0.179397000,1.841050000,-140.00,147.21,37.00
1,1580581649.745601650,3663426449.745601650,-140.00,160.00,30.00,0.736260000,-0.179413000,1.841050000,-140.00,147.21,37.00
1,1580581650.745815750,3663426450.745815750,-140.00,160.00,30.00,0.736270000,-0.179398000,1.841060000,-140.00,147.21,37.00
1,1580581651.745852950,3663426451.745852950,-140.00,160.00,30.00,0.736230000,-0.179420000,1.841050000,-140.00,147.21,37.00
1,1580581652.746070380,3663426452.746070380,-140.00,160.00,30.00,0.736190000,-0.179428000,1.841040000,-140.00,147.21,37.00
2,1580581661.529580120,3663426461.529580120,-100.00,160.00,30.00,1.642740000,-0.093015000,1.206010000,-100.00,147.21,37.00
2,1580581662.530104640,3663426462.530104640,-100.00,160.00,30.00,1.642780000,-0.092988000,1.205970000,-100.00,147.21,37.00
2,1580581663.529736520,3663426463.529736520,-100.00,160.00,30.00,1.642770000,-0.092981000,1.206000000,-100.00,147.21,37.00
2,1580581664.529375080,3663426464.529375080,-100.00,160.00,30.00,1.642720000,-0.093006000,1.206060000,-100.00,147.21,37.00
2,1580581665.530119900,3663426465.530119900,-100.00,160.00,30.00,1.642690000,-0.093024000,1.206100000,-100.00,147.21,37.00
3,1580581673.497120860,3663426473.497120860,-60.00,160.00,30.00,1.641660000,0.158534000,0.202500000,-60.00,147.21,37.00
3,1580581674.496670720,3663426474.496670720,-60.00,160.00,30.00,1.641930000,0.158841000,0.202800000,-60.00,147.21,37.00
3,1580581675.496500970,3663426475.496500970,-60.00,160.00,30.00,1.641630000,0.158538000,0.202400000,-60.00,147.21,37.00
3,1580581676.496347900,3663426476.496347900,-60.00,160.00,30.00,1.641610000,0.158552000,0.202330000,-60.00,147.21,37.00
3,1580581677.496576310,3663426477.496576310,-60.00,160.00,30.00,1.641880000,0.158861000,0.202630000,-60.00,147.21,37.00
4,1580581685.497247220,3663426485.497247220,-20.00,160.00,30.00,1.215180000,0.459980000,-0.404040000,-20.00,147.21,37.00
4,1580581686.498336310,3663426486.498336310,-20.00,160.00,30.00,1.215300000,0.460100000,-0.404120000,-20.00,147.21,37.00
4,1580581687.498774530,3663426487.498774530,-20.00,160.00,30.00,1.215190000,0.460030000,-0.404220000,-20.00,147.21,37.00
4,1580581688.498619080,3663426488.498619080,-20.00,160.00,30.00,1.215180000,0.460060000,-0.404210000,-20.00,147.21,37.00
4,1580581689.498510840,3663426489.498510840,-20.00,160.00,30.00,1.215190000,0.460060000,-0.404190000,-20.00,147.21,37.00
5,1580581882.698292730,3663426682.698292730,-20.00,160.00,60.00,0.959460000,0.444180000,-0.282280000,-20.00,147.21,66.80
5,1580581883.697965620,3663426683.697965620,-20.00,160.00,60.00,0.959440000,0.444200000,-0.282260000,-20.00,147.21,66.80
5,1580581884.697974200,3663426684.697974200,-20.00,160.00,60.00,0.959680000,0.444430000,-0.281950000,-20.00,147.21,66.80
5,1580581885.698943610,3663426685.698943610,-20.00,160.00,60.00,0.959390000,0.444080000,-0.282290000,-20.00,147.21,66.80
5,1580581886.698570250,3663426686.698570250,-20.00,160.00,60.00,0.959400000,0.444150000,-0.282250000,-20.00,147.21,66.80
6,1580581908.433809280,3663426708.433809280,-60.00,160.00,60.00,1.175530000,0.239860000,0.066987000,-60.00,147.21,66.80
6,1580581909.433725360,3663426709.433725360,-60.00,160.00,60.00,1.175240000,0.239530000,0.066934000,-60.00,147.21,66.80
6,1580581910.433523650,3663426710.433523650,-60.00,160.00,60.00,1.175190000,0.239540000,0.066870000,-60.00,147.21,66.80
6,1580581911.433969500,3663426711.433969500,-60.00,160.00,60.00,1.175480000,0.239860000,0.067205000,-60.00,147.21,66.80
6,1580581912.434080600,3663426712.434080600,-60.00,160.00,60.00,1.175230000,0.239530000,0.066944000,-60.00,147.21,66.80
7,1580581921.929764270,3663426721.929764270,-100.00,160.00,60.00,1.101230000,0.062178000,0.548710000,-100.00,147.21,66.80
7,1580581922.929856300,3663426722.929856300,-100.00,160.00,60.00,1.100960000,0.062218000,0.548740000,-100.00,147.21,66.80
7,1580581923.929393290,3663426723.929393290,-100.00,160.00,60.00,1.100950000,0.062219000,0.548740000,-100.00,147.21,66.80
7,1580581924.929568770,3663426724.929568770,-100.00,160.00,60.00,1.101070000,0.062365000,0.548870000,-100.00,147.21,66.80
7,1580581925.929804800,3663426725.929804800,-100.00,160.00,60.00,1.100940000,0.062253000,0.548710000,-100.00,147.21,66.80
8,1580581935.025523660,3663426735.025523660,-140.00,160.00,60.00,0.637990000,-0.020022000,0.864330000,-140.00,147.21,66.80
8,1580581936.026242260,3663426736.026242260,-140.00,160.00,60.00,0.637970000,-0.019990000,0.864330000,-140.00,147.21,66.80
8,1580581937.025593280,3663426737.025593280,-140.00,160.00,60.00,0.637930000,-0.020024000,0.864340000,-140.00,147.21,66.80
